SNP	gene	p_value	FDR	q_value
gKR08	ARR1	2.10435447981748E-21	3.92485514054474E-17	3.56413539613555E-17
RPB5	ISR1	2.30935543283394E-21	4.29382830492697E-17	3.89919752411419E-17
IMG1	MATALPHA2	2.34697472905888E-21	4.3502644370584E-17	3.95044680821457E-17
NBR041W	DSE1	2.36221167929561E-21	4.36499316648907E-17	3.96382187150332E-17
YBR144C	AMN1	2.37550595441149E-21	4.37605254695484E-17	3.9738648228903E-17
NCS2	DCP2	2.41779808870592E-21	4.44029879805796E-17	4.03220642517268E-17
NOL043W	BDS1	2.4369820470365E-21	4.45689757266126E-17	4.04727966430575E-17
VPS63	HMX1	2.44172489498157E-21	4.45689757266126E-17	4.04727966430575E-17
MAK5	PRY3	2.51229058995678E-21	4.57176332769161E-17	4.15158850849169E-17
NHR001C	AGA1	2.52865411172825E-21	4.58759692954418E-17	4.16596689923232E-17
LDB7	PDR3	2.66546356663946E-21	4.82119306094121E-17	4.37809402507496E-17
SNF3	HEM3	2.74624406641669E-21	4.94762219486733E-17	4.49290349834034E-17
YIL015C	MNT3	2.75188953493928E-21	4.94762219486733E-17	4.49290349834034E-17
NOP19	CPD1	2.80585676873675E-21	5.02954614234261E-17	4.56729810158861E-17
NLR076W	ASP3-3	2.90612223628794E-21	5.19372363328703E-17	4.71638661206101E-17
gGL02	MCM6	2.92669110393311E-21	5.21491670419205E-17	4.73563190174955E-17
NGR117C	CPD1	2.94300893540651E-21	5.2284317796265E-17	4.74790485374715E-17
YBR139W	ISR1	3.00381885647939E-21	5.32067589363139E-17	4.83167113302041E-17
POL3	NSE4	3.09447003809561E-21	5.4650778110232E-17	4.96280157391984E-17
gBR07	ISR1	3.32019889517719E-21	5.84648647847592E-17	5.30915630126206E-17
MAL13	MAL31	3.40631065797624E-21	5.9805295464746E-17	5.43087993848001E-17
UGA4	BRE4	3.46052842432884E-21	6.05795552636132E-17	5.50118996664999E-17
TYR1	EGT2	3.5209591013151E-21	6.14577457326158E-17	5.5809378712997E-17
YOL150C	BDS1	3.62151660785901E-21	6.30292014007796E-17	5.72364073726032E-17
CPD1	CPD1	3.91373851632774E-21	6.79176228794893E-17	6.16755510860908E-17
YLR257W	ERG5	4.04583431342949E-21	7.00070472697762E-17	6.35729437694643E-17
ECM31	PRY3	4.06967576693026E-21	7.02166492920515E-17	6.3763282001053E-17
YAP3	FUS1	4.17096826819829E-21	7.15519089354757E-17	6.49758225886018E-17
STE20	FUS1	4.17096826819829E-21	7.15519089354757E-17	6.49758225886018E-17
MDS3	MCM6	4.27747124135262E-21	7.31127903962914E-17	6.63932488793699E-17
HAL9	SPO21	4.28638039492826E-21	7.31127903962914E-17	6.63932488793699E-17
NEJ1	HMG1	4.34588193482713E-21	7.39171180823398E-17	6.71236536136294E-17
YJL007C	YJR015W	4.39835659966075E-21	7.45977103418275E-17	6.7741695012742E-17
BUD23	AGA2	4.42345426606868E-21	7.48114453534831E-17	6.79357863850747E-17
TRM10	SPO21	4.57811754425979E-21	7.72090754487498E-17	7.01130586622354E-17
BUD23	YCR097W-A	4.98005063230052E-21	8.37516797638698E-17	7.60543550381296E-17
SEO1	GPB2	5.38428145041519E-21	8.96374209972241E-17	8.13991583266864E-17
YAL066W	GPB2	5.38428145041519E-21	8.96374209972241E-17	8.13991583266864E-17
YAL065C	GPB2	5.38428145041519E-21	8.96374209972241E-17	8.13991583266864E-17
GSY2	HMX1	5.38991712536843E-21	8.96374209972241E-17	8.13991583266864E-17
YBR144C	DSE3	5.70948901791298E-21	9.46890601569754E-17	8.59865189535236E-17
NCR015C	HMLALPHA2	5.78146715250746E-21	9.56179124650062E-17	8.68300036861537E-17
YDL094C	NSE4	6.07968095491115E-21	1.00272981914104E-16	9.10572419410402E-17
NBR041W	PRY3	6.18171857583123E-21	1.01434373476274E-16	9.2111894056157E-17
YHL041W	YHL044W	6.18398246717265E-21	1.01434373476274E-16	9.2111894056157E-17
NOL042W	BDS1	7.0604359804757E-21	1.15494206661639E-16	1.04879537020113E-16
YEL028W	URA3	7.48505184095896E-21	1.22106424433744E-16	1.10884048923002E-16
DPS1	YLL007C	7.66121269747189E-21	1.24348792126174E-16	1.1292032842315E-16
PEX32	AMN1	7.66404720999297E-21	1.24348792126174E-16	1.1292032842315E-16
RTC2	EGT2	7.68829187766261E-21	1.24405019701646E-16	1.12971388318306E-16
IRA1	AMN1	7.72577837286772E-21	1.2467463395905E-16	1.1321622326984E-16
gBL05	PDR3	9.72438701893668E-21	1.56505304174954E-16	1.4212144762507E-16
EXO5	BUD9	1.0098685805417E-20	1.61660167400621E-16	1.46802545354013E-16
UBS1	BUD9	1.0098685805417E-20	1.61660167400621E-16	1.46802545354013E-16
IES3	YLR049C	1.02671679754264E-20	1.6391895077081E-16	1.48853731824242E-16
NCR015C	YCR041W	1.09189558832883E-20	1.73861343898771E-16	1.57882354283094E-16
YAL064W	GPB2	1.106820297017E-20	1.75770314747556E-16	1.59615878280466E-16
GSY2	ERG5	1.1211332059184E-20	1.77572284438252E-16	1.61252235222924E-16
PCK1	SGE1	1.145297132239E-20	1.8092089572018E-16	1.64293087323306E-16
YBR139W	DSE1	1.17232385386704E-20	1.8470292419392E-16	1.67727522753342E-16
RTC2	BUD9	1.24801462194277E-20	1.96112133272276E-16	1.78088151225464E-16
NAL013C	GPB2	1.28275723347327E-20	1.98960532023448E-16	1.80674763583838E-16
gAL01	GPB2	1.28275723347327E-20	1.98960532023448E-16	1.80674763583838E-16
NAL012W	GPB2	1.28275723347327E-20	1.98960532023448E-16	1.80674763583838E-16
NAL008C	GPB2	1.28275723347327E-20	1.98960532023448E-16	1.80674763583838E-16
NAL007W	GPB2	1.28275723347327E-20	1.98960532023448E-16	1.80674763583838E-16
YGL052W	PRM8	1.35364556027079E-20	2.0833638675733E-16	1.89188916216084E-16
MST27	PRM8	1.35364556027079E-20	2.0833638675733E-16	1.89188916216084E-16
YGL046W	PRM8	1.35364556027079E-20	2.0833638675733E-16	1.89188916216084E-16
FCF2	YLR049C	1.39476121856739E-20	2.13898346646136E-16	1.94239695773983E-16
PCK1	YPR197C	1.39692927599114E-20	2.13898346646136E-16	1.94239695773983E-16
ILV6	LEU1	1.42061392009045E-20	2.16585104329632E-16	1.96679522931339E-16
RPB5	COG4	1.42171114885193E-20	2.16585104329632E-16	1.96679522931339E-16
NGR125W	MAL31	1.53505871404544E-20	2.33259067675154E-16	2.11821040471625E-16
SMY2	AMN1	1.55214668001441E-20	2.35258557930963E-16	2.13636764553092E-16
YCL026C	LEU2	1.66549204121235E-20	2.51800820938956E-16	2.28658685874445E-16
BUD23	HMRA1	1.78298748300549E-20	2.68885605583532E-16	2.4417326756131E-16
NBR034W	COG4	1.80168287694564E-20	2.70343057545205E-16	2.45496770197395E-16
NBR035W	COG4	1.80168287694564E-20	2.70343057545205E-16	2.45496770197395E-16
gKR07	ARR1	1.90978519677186E-20	2.85847433539237E-16	2.59576193079651E-16
GET3	NSE4	1.92184623118265E-20	2.86935332643744E-16	2.60564107172515E-16
YHL008C	FUS1	1.97812147632395E-20	2.94602664815965E-16	2.67526761591692E-16
NTC20	AMN1	2.15563644577444E-20	3.20243436484037E-16	2.90810979381631E-16
IRC8	TAD2	2.23914312681391E-20	3.31825880550415E-16	3.01328921418342E-16
TIM22	HEM3	2.48321290143152E-20	3.66182586782287E-16	3.32528022631195E-16
NDL036C	HEM3	2.48321290143152E-20	3.66182586782287E-16	3.32528022631195E-16
MSC7	DOG2	2.91341371343973E-20	4.28565805804905E-16	3.89177817612555E-16
ECM1	GPB2	2.96488411070003E-20	4.35068184435045E-16	3.95082585305851E-16
YEL059C	YEL057C	3.3168534574119E-20	4.84453416828021E-16	4.39928993266211E-16
NAL009W	GPB2	3.3176159790608E-20	4.84453416828021E-16	4.39928993266211E-16
IMG1	SAG1	3.40542487423884E-20	4.96065755718785E-16	4.50474082598284E-16
SHR3	HEM3	3.46191624785481E-20	5.02621735633924E-16	4.5642752526946E-16
YIL089W	YIL089W	3.4756164232386E-20	5.02621735633924E-16	4.5642752526946E-16
YIL086C	YIL089W	3.4756164232386E-20	5.02621735633924E-16	4.5642752526946E-16
SWH1	YAR028W	3.53470676890108E-20	5.09935281165256E-16	4.63068908343754E-16
DUN1	NSE4	3.88500890862048E-20	5.59122183778975E-16	5.0773521432301E-16
NGR116C	CPD1	3.89433235397641E-20	5.59122183778975E-16	5.0773521432301E-16
RFC4	SPO21	3.91815273474511E-20	5.61196360047562E-16	5.09618760286358E-16
RTT101	TAD2	3.99704960458595E-20	5.71130404821081E-16	5.18639801658901E-16
MCP2	HMG1	4.0734358985202E-20	5.80659267583137E-16	5.27292899885208E-16
GLE1	HO	4.26899688987744E-20	6.07090600063527E-16	5.51295020801016E-16
YAP1	PLB2	4.28635517297574E-20	6.08114654623032E-16	5.52224958078294E-16
MAK5	EGT2	4.42855056550061E-20	6.26802913368938E-16	5.69195644155431E-16
YBR144C	EGT2	4.66793211868766E-20	6.59125996936506E-16	5.98548025868919E-16
VPS63	YEL033W	5.54564809238152E-20	7.81219622320584E-16	7.09420452058261E-16
RED1	YEL033W	5.80335512146251E-20	8.15603937457321E-16	7.40644624737846E-16
NLR076W	ASP3-1	6.08407080360362E-20	8.53031249792206E-16	7.74632123358361E-16
RRP42	NSE4	6.09816181793448E-20	8.53031249792206E-16	7.74632123358361E-16
BUD23	STE3	6.45835993580288E-20	9.01311098931734E-16	8.18474739984052E-16
BUD3	BAP2	6.7333664253985E-20	9.37504928428506E-16	8.51342120871194E-16
GRE2	BDS1	6.75080274490688E-20	9.37751816458856E-16	8.51566318283924E-16
YGL052W	MST28	6.8377362977447E-20	9.43262098588747E-16	8.56570169605456E-16
MST27	MST28	6.8377362977447E-20	9.43262098588747E-16	8.56570169605456E-16
YGL046W	MST28	6.8377362977447E-20	9.43262098588747E-16	8.56570169605456E-16
RTC2	ISR1	6.90398871393503E-20	9.50212155362069E-16	8.62881470905486E-16
SLA1	PDR3	7.02624431868713E-20	9.64820502745185E-16	8.76147216040727E-16
YBR138C	ISR1	7.20046747404613E-20	9.84047661546486E-16	8.9360727374908E-16
RRI1	HEM3	7.20910956756529E-20	9.84047661546486E-16	8.9360727374908E-16
NBR031C	COG4	7.21557404925211E-20	9.84047661546486E-16	8.9360727374908E-16
NDE2	NSE4	7.3557014146954E-20	1.00087808772026E-15	9.08890874164879E-16
NBR038W	EGT2	7.42276589655003E-20	1.00771318326545E-15	9.15097779922223E-16
gPL05	GLR1	7.65440912898259E-20	1.03680997819192E-15	9.41520389928952E-16
TYR1	BUD9	7.79541398738866E-20	1.05352591671318E-15	9.56700024853004E-16
ILV6	BAP2	8.04858332871635E-20	1.08483394087603E-15	9.8513063773071E-16
gPL05	YPL088W	8.06603462213173E-20	1.08483394087603E-15	9.8513063773071E-16
MAK5	RMA1	8.08143263621892E-20	1.08483394087603E-15	9.8513063773071E-16
gCR02	GYP8	8.39952918158782E-20	1.12501208069062E-15	1.02161614487331E-15
EXO5	DSE3	8.74291784596643E-20	1.16578864909189E-15	1.05864508111878E-15
UBS1	DSE3	8.74291784596643E-20	1.16578864909189E-15	1.05864508111878E-15
NGR126C	MAL31	8.97071705495085E-20	1.19350546228911E-15	1.08381453870304E-15
GCN1	MCM6	9.19848531797638E-20	1.22109525472554E-15	1.10886864956152E-15
GDH2	HEM3	9.41340162394146E-20	1.2441081990364E-15	1.12976655443968E-15
PRR2	HEM3	9.41340162394146E-20	1.2441081990364E-15	1.12976655443968E-15
YGR283C	MAL31	1.02504577674193E-19	1.35175247591946E-15	1.22751762134328E-15
PXR1	MAL31	1.04647785913231E-19	1.37698247647696E-15	1.25042882056247E-15
QRI1	NSE4	1.07941513660447E-19	1.41720745148178E-15	1.28695685843636E-15
NTC20	DSE1	1.11382275811715E-19	1.45918263667543E-15	1.3250742507861E-15
YAL069W	GPB2	1.21596204750458E-19	1.58951381880879E-15	1.44342714861999E-15
YDL009C	MRH1	1.26069923654612E-19	1.64082938132528E-15	1.49002647679602E-15
NDL002C	MRH1	1.26069923654612E-19	1.64082938132528E-15	1.49002647679602E-15
EXO5	RMA1	1.27236644421708E-19	1.64884562945731E-15	1.49730597952631E-15
UBS1	RMA1	1.27236644421708E-19	1.64884562945731E-15	1.49730597952631E-15
NBR041W	EGT2	1.31218873873433E-19	1.69677822119301E-15	1.54083325396477E-15
VTC2	WWM1	1.37350214843945E-19	1.77223426233234E-15	1.60935439358564E-15
PEX32	DSE1	1.4092254304369E-19	1.81441774550618E-15	1.64766093997484E-15
gCR02	YCR041W	1.49479530950903E-19	1.92046136944157E-15	1.74395846435944E-15
ECM31	EGT2	1.54621604522517E-19	1.98227115337803E-15	1.80008752667302E-15
OPT1	AGP3	1.55129157367438E-19	1.9845285279123E-15	1.80213743378852E-15
NCR015C	YLR041W	1.69634538094284E-19	2.1654651748662E-15	1.9664448247046E-15
CSH1	RMA1	1.70275924361999E-19	2.16902798103565E-15	1.96968018578761E-15
ERG3	YLR050C	1.76596585127416E-19	2.24476643595315E-15	2.03845778352147E-15
NTC20	PRY3	1.78964137330912E-19	2.27004140455324E-15	2.06140981792733E-15
RIM2	AMN1	1.81079823845126E-19	2.29202150722946E-15	2.08136980604249E-15
UBX6	TAD2	1.86240807262974E-19	2.35237345309932E-15	2.13617501510062E-15
gBR08	DSE3	1.98598725837271E-19	2.5031830774291E-15	2.27312425294614E-15
YBR139W	AMN1	2.07575761865448E-19	2.61083516663607E-15	2.37088241417021E-15
TYR1	RMA1	2.15116616192006E-19	2.70000982590745E-15	2.45186134158697E-15
SLI15	ISR1	2.20672086216999E-19	2.76394419432171E-15	2.50991972523045E-15
FLO10	NFT1	2.22795505973136E-19	2.76738226935623E-15	2.51304181878202E-15
NFT1	NFT1	2.22795505973136E-19	2.76738226935623E-15	2.51304181878202E-15
YKR104W	NFT1	2.22795505973136E-19	2.76738226935623E-15	2.51304181878202E-15
gKR09	NFT1	2.22795505973136E-19	2.76738226935623E-15	2.51304181878202E-15
gGL03	MCM6	2.27269999122093E-19	2.81711609862105E-15	2.55820478529177E-15
gBR07	DSE1	2.31915962749042E-19	2.86876548014515E-15	2.60510725233493E-15
NUS1	HEM3	2.33996483086848E-19	2.88853315920895E-15	2.62305815297402E-15
YBR137W	ISR1	2.40839137504971E-19	2.96688395497166E-15	2.69420800041896E-15
YJL218W	AGP3	2.50431052974542E-19	3.05986217791011E-15	2.77864091923459E-15
REE1	AGP3	2.50431052974542E-19	3.05986217791011E-15	2.77864091923459E-15
IMA5	AGP3	2.50431052974542E-19	3.05986217791011E-15	2.77864091923459E-15
YJL215C	AGP3	2.50431052974542E-19	3.05986217791011E-15	2.77864091923459E-15
NTC20	EGT2	2.57539627034569E-19	3.14030865546507E-15	2.85169384166889E-15
YHL012W	FUS1	2.58187000677375E-19	3.14180361862693E-15	2.8530514079816E-15
NBR038W	BUD9	2.6279847833751E-19	3.19143271682763E-15	2.898119268894E-15
RED1	YHB1	2.63973824676402E-19	3.19921687480646E-15	2.90518801206744E-15
gJR10	CBF1	2.78521997557768E-19	3.36871343238857E-15	3.05910673231801E-15
SMY2	DSE1	2.7912834460952E-19	3.36924063120082E-15	3.05958547812653E-15
YLR252W	HMG1	2.80874410969603E-19	3.38349509979052E-15	3.07252986823378E-15
YOL106W	SPO21	2.93205349232005E-19	3.524944735521E-15	3.20097936138055E-15
APT2	APT2	3.09463352045899E-19	3.71294439868189E-15	3.37170063132283E-15
MTR4	TAD2	3.22961474347896E-19	3.86714521530235E-15	3.51172938880551E-15
SMY2	PRY3	3.26312973601064E-19	3.89947715996085E-15	3.54108981721797E-15
URB2	CBF1	3.27962475257761E-19	3.91138174323813E-15	3.55190029177447E-15
gBR08	PRY3	3.30716053692343E-19	3.93638037468873E-15	3.57460138621427E-15
YOL099C	SPO21	3.35400514111434E-19	3.98421671783482E-15	3.61804125793525E-15
PCH2	AMN1	3.36211058979247E-19	3.98593656155677E-15	3.61960303682024E-15
NGR119W	CPD1	3.37894136136583E-19	3.99797343539264E-15	3.63053364357158E-15
PCH2	EGT2	3.62281008312854E-19	4.27806495608701E-15	3.88488292967688E-15
YNL035C	YNL035C	3.6735880418357E-19	4.32098179206024E-15	3.92385542896792E-15
NNL004W	YNL035C	3.6735880418357E-19	4.32098179206024E-15	3.92385542896792E-15
PCH2	PRY3	3.70027321900523E-19	4.33885853536261E-15	3.94008918315502E-15
APC11	MRH1	3.70328064017679E-19	4.33885853536261E-15	3.94008918315502E-15
PCK1	ARR1	3.81246099522353E-19	4.4580528643809E-15	4.04832877719359E-15
GSY2	YDL086W	4.02075080188064E-19	4.69244896610429E-15	4.26118235088053E-15
PCH2	DSE1	4.18284264126216E-19	4.87212221267218E-15	4.42434245613281E-15
gCR02	HMLALPHA2	4.28167284549653E-19	4.97755442673741E-15	4.52008476319555E-15
SLI15	BUD9	4.31044301411116E-19	5.00128924391175E-15	4.54163819612049E-15
RRP12	SNF8	4.43951310678919E-19	5.13115753801904E-15	4.65957074835204E-15
RQC2	SNF8	4.43951310678919E-19	5.13115753801904E-15	4.65957074835204E-15
gDL01	HEM3	4.76611222511297E-19	5.4980245191786E-15	4.99272026506075E-15
TAF5	AMN1	4.97846682092538E-19	5.73194532810538E-15	5.205142228454E-15
TAF4	PLB2	5.17221846304783E-19	5.94359081454829E-15	5.39733611654711E-15
RIM8	PRM8	5.18267299569898E-19	5.94419530727218E-15	5.39788505245347E-15
YLR257W	YDL086W	5.28728313864949E-19	6.05258148414464E-15	5.49630983390651E-15
YBR174C	EGT2	5.38921038606954E-19	6.15748860799065E-15	5.59157530996035E-15
YBR137W	DSE1	5.56039003114892E-19	6.34097029318453E-15	5.75819383352994E-15
NDJ1	SPO21	5.61623330320869E-19	6.39247682508432E-15	5.80496657975944E-15
gKR08	NFT1	6.19576884517625E-19	7.03873082475372E-15	6.39182562872709E-15
ECM31	BUD9	6.29941068060697E-19	7.14291966679331E-15	6.48643883774966E-15
PGI1	AMN1	6.32732327693471E-19	7.16100732519302E-15	6.50286412256326E-15
BAR1	MNT3	6.35954335433246E-19	7.18162787532279E-15	6.52158950986382E-15
BUD23	MATALPHA2	6.36953389531096E-19	7.18162787532279E-15	6.52158950986382E-15
NIL022W	YOL159C	6.55289759365461E-19	7.36064610947342E-15	6.68415480260515E-15
YIL166C	YOL159C	6.55289759365461E-19	7.36064610947342E-15	6.68415480260515E-15
NBR041W	BUD9	6.80812129907022E-19	7.63300933977201E-15	6.93148607852538E-15
BUD23	YCL065W	6.94422935612093E-19	7.77105603078533E-15	7.05684537973304E-15
NGL031W	MCM6	7.11001431359614E-19	7.94173609432841E-15	7.21183883404028E-15
YLR140W	ASP3-1	7.19991292959837E-19	8.02717488061376E-15	7.28942523952486E-15
AVT7	YIL089W	7.5336376173765E-19	8.38363218414432E-15	7.61312179576207E-15
TAF5	PRY3	7.69070962187009E-19	8.54254774417506E-15	7.75743198103522E-15
IRA1	PRY3	7.84327800003804E-19	8.69588153503218E-15	7.89667339806791E-15
SAM1	ASP3-1	8.31310822758016E-19	9.19974808692791E-15	8.354231332879E-15
SAM1	ASP3-3	8.42749889458912E-19	9.30913189564526E-15	8.45356205731423E-15
SAM50	YNL035C	8.61278702946358E-19	9.49628291618925E-15	8.62351268042211E-15
RED1	YDL086W	8.72634333497313E-19	9.60380121891314E-15	8.72114935101205E-15
IMG1	YCR041W	9.44340248291269E-19	1.03738929851405E-14	9.42046466941193E-15
GPB2	GPB2	9.50437728017042E-19	1.04027007873896E-14	9.44662484705017E-15
PEX22	GPB2	9.50437728017042E-19	1.04027007873896E-14	9.44662484705017E-15
AIM34	PLB2	9.5372938774503E-19	1.04196797819986E-14	9.46204336149452E-15
YLR252W	MAP1	9.60035584621472E-19	1.04694713394861E-14	9.5072587506274E-15
RIM2	PRY3	9.66689166245459E-19	1.05132966600935E-14	9.54705623889908E-15
GLE1	BRE4	9.67566341531169E-19	1.05132966600935E-14	9.54705623889908E-15
YBR144C	RMA1	9.8666601724499E-19	1.07014064346157E-14	9.71787750025162E-15
VPS63	YHB1	1.01893175692714E-18	1.10313771451087E-14	1.00175217538208E-14
TRM3	NSE4	1.03847232565398E-18	1.1222637333929E-14	1.01912038858833E-14
YBR174C	BUD9	1.06730975906688E-18	1.15134972949581E-14	1.0455331922537E-14
YJR120W	MNS1	1.07560896807851E-18	1.15821554337209E-14	1.05176799312748E-14
YLR169W	YCL073C	1.10368086146891E-18	1.18630970258176E-14	1.07728011616853E-14
NBR043C	PRY3	1.1069264383937E-18	1.18766600988318E-14	1.07851176999725E-14
CWC22	MAL31	1.13803782921147E-18	1.21840546079245E-14	1.10642606520568E-14
VTC2	AUA1	1.13964633420968E-18	1.21840546079245E-14	1.10642606520568E-14
GSY2	CYB5	1.16619881597479E-18	1.24457049458695E-14	1.13018636201886E-14
NLR116W	HMG1	1.21838751371858E-18	1.29795277105795E-14	1.17866245967942E-14
OSW2	YLR049C	1.22765632254632E-18	1.30509227891279E-14	1.18514580027295E-14
YDL211C	HEM3	1.2294491142349E-18	1.30509227891279E-14	1.18514580027295E-14
UBP11	SGE1	1.30142566291315E-18	1.37699279579343E-14	1.25043819146657E-14
AGP2	ISR1	1.30178221341496E-18	1.37699279579343E-14	1.25043819146657E-14
gKR07	NFT1	1.31317297298759E-18	1.38659184858687E-14	1.25915502880332E-14
YAT1	YAR028W	1.32524915558311E-18	1.39687957239791E-14	1.26849724380684E-14
YLR257W	CYB5	1.4197794152808E-18	1.49388915601793E-14	1.35659101500689E-14
YLR169W	YLR173W	1.482990779352E-18	1.55766248717822E-14	1.41450316176864E-14
gFL02	WWM1	1.51709211482833E-18	1.59069021210544E-14	1.44449542371249E-14
RPT6	MST28	1.53338709300022E-18	1.60496490550733E-14	1.45745817984001E-14
PGI1	PRY3	1.56231222730618E-18	1.6323864295057E-14	1.48235948722559E-14
TYR1	DSE3	1.60647941085211E-18	1.67561036204311E-14	1.52161085890688E-14
MAK5	BUD9	1.73677613193557E-18	1.80836362770977E-14	1.64216323502577E-14
TAF5	DSE1	1.77385103904545E-18	1.84376017147958E-14	1.67430660593585E-14
MED8	PRY3	1.79547850685775E-18	1.86300561332875E-14	1.69178326636092E-14
PRM8	PRM8	1.81120571105199E-18	1.87607288417097E-14	1.70364956992421E-14
RIM2	DSE1	1.82349654429725E-18	1.88554172282961E-14	1.71224816065306E-14
LOC1	WWM1	1.8345917746394E-18	1.89374375808768E-14	1.71969637546273E-14
NFL003C	AUA1	1.84816122538299E-18	1.89979871316929E-14	1.72519484074504E-14
NFL004W	AUA1	1.84816122538299E-18	1.89979871316929E-14	1.72519484074504E-14
NEJ1	YDL086W	1.84997720860807E-18	1.89979871316929E-14	1.72519484074504E-14
NPL010C	GLR1	1.93613725394668E-18	1.98487453635951E-14	1.80245164180638E-14
YLR046C	YLR050C	1.94023544261718E-18	1.98567575668328E-14	1.80317922476518E-14
MDY2	SPO21	1.96969098956507E-18	2.01120247219023E-14	1.82635986889789E-14
NNL012W	YNL035C	1.97189656062814E-18	2.01120247219023E-14	1.82635986889789E-14
NBR043C	AMN1	2.03175507648115E-18	2.06872990904391E-14	1.87860015971044E-14
GLO1	PLB2	2.09573168641575E-18	2.12663733503269E-14	1.93118551618224E-14
YML002W	PLB2	2.09573168641575E-18	2.12663733503269E-14	1.93118551618224E-14
RIM8	MST28	2.12227397908353E-18	2.14992710130135E-14	1.95233480127771E-14
gBR08	RMA1	2.14932238005293E-18	2.17365002274215E-14	1.9738774317645E-14
VMS1	ENA1	2.15550761137671E-18	2.17622920031461E-14	1.97621956612354E-14
UBP11	YPR197C	2.21558214833344E-18	2.23311545978912E-14	2.02787760793313E-14
EEB1	GLR1	2.31994373539306E-18	2.33437300561419E-14	2.11982892595065E-14
GSY2	YGR235C	2.32549215572852E-18	2.3360298346966E-14	2.12133348165182E-14
YBR138C	DSE1	2.37708377771398E-18	2.38385548019431E-14	2.16476363890796E-14
NGL030C	MCM6	2.4277361776861E-18	2.43058085116387E-14	2.20719464402961E-14
DPH5	YLR173W	2.49056120019002E-18	2.48931675116294E-14	2.26053233235548E-14
CSH1	COG4	2.51703279392032E-18	2.51158215940509E-14	2.28075140459727E-14
RTC2	RMA1	2.52323329562327E-18	2.51357993403154E-14	2.2825655707269E-14
HXT8	AGP3	2.56742041985879E-18	2.55334950591986E-14	2.31868005999607E-14
VMS1	ENA5	2.57949470228285E-18	2.56110329005478E-14	2.32572122087964E-14
