Interactor (sys)	Interactor (std)	Function
YDL095W	PMT1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YDL096C	OPI6	unknown
YDL098C_damp	SNU23_damp	RNA processing
YDL099W	BUG1	ER<->Golgi traffic
YDL100C	GET3	ER<->Golgi traffic
YDL101C	DUN1	DNA replication/repair/HR/cohesion
YDL102W_tsq135	cdc2-2	DNA replication/repair/HR/cohesion
YDL102W_tsq17	cdc2-7	DNA replication/repair/HR/cohesion
YDL103C_tsq859	qri1-ts1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YDL104C	QRI7	unknown
YDL106C	PHO2	amino acid biosynth&transport/nitrogen utilization
YDL107W	MSS2	metabolism/mitochondria
YDL109C	YDL109C	unknown
YDL110C	TMA17	unknown
YDL112W	TRM3	ribosome/translation
YDL114W	YDL114W	unknown
YDL115C	IWR1	unknown
YDL117W	CYK3	cell polarity/morphogenesis
YDL118W	YDL118W	unknown
YDL119C	YDL119C	unknown
YDL120W_damp	YFH1_damp	metabolism/mitochondria
YDL121C	YDL121C	unknown
YDL122W	UBP1	unknown
YDL123W	SNA4	unknown
YDL124W	YDL124W	metabolism/mitochondria
YDL125C	HNT1	metabolism/mitochondria
YDL126C_tsq208	cdc48-3	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YDL126C_tsq209	cdc48-2	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YDL127W	PCL2	cell polarity/morphogenesis;G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YDL128W	VCX1	drug/ion transport
YDL129W	YDL129W	unknown
YDL130W	RPP1B	ribosome/translation
YDL130W-A	STF1	drug/ion transport;metabolism/mitochondria
YDL131W	LYS21	amino acid biosynth&transport/nitrogen utilization
YDL133C-A	RPL41B	ribosome/translation
YDL133W	YDL133W	unknown
YDL134C	PPH21	signaling/stress response
YDL134C-A	YDL134C-A	unknown
YDL135C	RDI1	cell polarity/morphogenesis
YDL136W	RPL35B	ribosome/translation
YDL137W	ARF2	Golgi/endosome/vacuole/sorting
YDL138W	RGT2	metabolism/mitochondria
YDL140C_tsq804	rpo21-1	chromatin/transcription
YDL141W_damp	BPL1_damp	unknown
YDL142C	CRD1	drug/ion transport;metabolism/mitochondria;lipid/sterol/fatty acid biosynth
YDL144C	YDL144C	unknown
YDL145C_tsq704	cop1-1	ER<->Golgi traffic
YDL146W	LDB17	unknown
YDL150W_damp	RPC53_damp	ribosome/translation;chromatin/transcription
YDL154W	MSH5	DNA replication/repair/HR/cohesion
YDL155W	CLB3	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response;chromosome segregation/kinetochore/spindle/microtubule
YDL156W	CMR1	unknown
YDL157C	YDL157C	unknown
YDL161W	ENT1	cell polarity/morphogenesis;Golgi/endosome/vacuole/sorting
YDL162C	YDL162C	unknown
YDL167C	NRP1	unknown
YDL168W	SFA1	metabolism/mitochondria
YDL169C	UGX2	unknown
YDL170W	UGA3	metabolism/mitochondria;chromatin/transcription
YDL171C	GLT1	metabolism/mitochondria
YDL172C	YDL172C	amino acid biosynth&transport/nitrogen utilization
YDL173W	PAR32	amino acid biosynth&transport/nitrogen utilization
YDL174C	DLD1	metabolism/mitochondria
YDL175C	AIR2	nuclear-cytoplasic transport;RNA processing
YDL176W	YDL176W	metabolism/mitochondria
YDL177C	YDL177C	unknown
YDL178W	DLD2	metabolism/mitochondria
YDL179W	PCL9	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YDL180W	YDL180W	unknown
YDL181W	INH1	drug/ion transport
YDL182W	LYS20	amino acid biosynth&transport/nitrogen utilization
YDL183C	YDL183C	unknown
YDL184C	RPL41A	ribosome/translation
YDL185W	TFP1	Golgi/endosome/vacuole/sorting
YDL186W	YDL186W	unknown
YDL187C	YDL187C	unknown
YDL188C	PPH22	signaling/stress response
YDL189W	RBS1	metabolism/mitochondria
YDL190C	UFD2	protein degradation/proteosome
YDL191W	RPL35A	ribosome/translation
YDL192W	ARF1	Golgi/endosome/vacuole/sorting
YDL194W	SNF3	drug/ion transport;metabolism/mitochondria
YDL197C	ASF2	chromatin/transcription
YDL199C	YDL199C	unknown
YDL200C	MGT1	DNA replication/repair/HR/cohesion
YDL201W	TRM8	ribosome/translation
YDL203C	ACK1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YDL204W	RTN2	unknown
YDL206W	YDL206W	unknown
YDL210W	UGA4	drug/ion transport;amino acid biosynth&transport/nitrogen utilization
YDL211C	YDL211C	unknown
YDL212W_damp	SHR3_damp	ER<->Golgi traffic
YDL213C	NOP6	ribosome/translation;RNA processing
YDL214C	PRR2	cell polarity/morphogenesis;signaling/stress response
YDL215C	GDH2	metabolism/mitochondria
YDL216C	RRI1	protein degradation/proteosome
YDL217C_tsq714	tim22-19	metabolism/mitochondria
YDL218W	YDL218W	unknown
YDL219W	DTD1	ribosome/translation;RNA processing
YDL222C	FMP45	metabolism/mitochondria;lipid/sterol/fatty acid biosynth
YDL223C	HBT1	cell polarity/morphogenesis
YDL224C	WHI4	G1/S and G2/M cell cycle progression/meiosis
YDL225W	SHS1	cell polarity/morphogenesis
YDL226C	GCS1	ER<->Golgi traffic
YDL229W	SSB1	unknown
YDL230W	PTP1	signaling/stress response
YDL231C	BRE4	unknown
YDL233W	YDL233W	unknown
YDL234C	GYP7	Golgi/endosome/vacuole/sorting
YDL236W	PHO13	chromatin/transcription
YDL237W	LRC1	unknown
YDL238C	GUD1	metabolism/mitochondria
YDL239C	ADY3	protein folding/protein glycosylation/cell wall biogenesis&integrity;G1/S and G2/M cell cycle progression/meiosis;chromosome segregation/kinetochore/spindle/microtubule
YDL240W	LRG1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YDL241W	YDL241W	unknown
YDL242W	YDL242W	unknown
YDL243C	AAD4	metabolism/mitochondria
YDL244W	THI13	metabolism/mitochondria
YDL245C	HXT15	drug/ion transport;metabolism/mitochondria
YDL246C	SOR2	unknown
YDR001C	NTH1	metabolism/mitochondria
YDR002W_tsq582	yrb1-51	unknown
YDR003W	RCR2	Golgi/endosome/vacuole/sorting
YDR004W	RAD57	DNA replication/repair/HR/cohesion
YDR005C	MAF1	ribosome/translation
YDR006C	SOK1	signaling/stress response
YDR007W	TRP1	amino acid biosynth&transport/nitrogen utilization
YDR009W	GAL3	metabolism/mitochondria;chromatin/transcription
YDR010C	YDR010C	unknown
YDR011W	SNQ2	drug/ion transport
YDR013W_tsq583	psf1-1	DNA replication/repair/HR/cohesion
YDR014W	RAD61	chromosome segregation/kinetochore/spindle/microtubule
YDR015C	YDR015C	unknown
YDR018C	YDR018C	unknown
YDR019C	GCV1	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YDR020C	DAS2	unknown
YDR021W_damp	FAL1_damp	ribosome/translation;RNA processing
YDR024W	FYV1	unknown
YDR026C	YDR026C	unknown
YDR029W	YDR029W	unknown
YDR030C	RAD28	DNA replication/repair/HR/cohesion
YDR031W	MIC14	metabolism/mitochondria
YDR032C	PST2	signaling/stress response
YDR033W	MRH1	unknown
YDR035W	ARO3	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YDR036C	EHD3	cell polarity/morphogenesis
YDR037W_damp	KRS1_damp	ribosome/translation
YDR042C	YDR042C	unknown
YDR043C	NRG1	metabolism/mitochondria
YDR044W_damp	HEM13_damp	metabolism/mitochondria
YDR046C	BAP3	amino acid biosynth&transport/nitrogen utilization
YDR049W	YDR049W	unknown
YDR051C	DET1	unknown
YDR052C_tsq163	dbf4-3	DNA replication/repair/HR/cohesion
YDR055W	PST1	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis
YDR056C	YDR056C	unknown
YDR057W	YOS9	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YDR058C	TGL2	lipid/sterol/fatty acid biosynth
YDR059C	UBC5	unknown
YDR060W_tsq249	mak21-1	ribosome/translation;RNA processing
YDR061W	YDR061W	unknown
YDR062W_damp	LCB2_damp	cell polarity/morphogenesis;lipid/sterol/fatty acid biosynth;signaling/stress response
YDR063W	AIM7	unknown
YDR066C	RTR2	unknown
YDR067C	OCA6	signaling/stress response
YDR068W	DOS2	unknown
YDR069C_damp	DOA4_damp	Golgi/endosome/vacuole/sorting
YDR070C	FMP16	unknown
YDR071C	PAA1	unknown
YDR072C	IPT1	lipid/sterol/fatty acid biosynth
YDR073W	SNF11	chromatin/transcription
YDR074W	TPS2	metabolism/mitochondria
YDR075W	PPH3	signaling/stress response
YDR076W	RAD55	DNA replication/repair/HR/cohesion
YDR077W	SED1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YDR080W	VPS41	Golgi/endosome/vacuole/sorting
YDR083W	RRP8	ribosome/translation;RNA processing
YDR084C	TVP23	Golgi/endosome/vacuole/sorting
YDR085C	AFR1	cell polarity/morphogenesis
YDR087C_tsq181	rrp1-1	ribosome/translation;RNA processing
YDR088C_tsq656	slu7-ts1	RNA processing
YDR089W	YDR089W	unknown
YDR090C	YDR090C	unknown
YDR091C_damp	RLI1_damp	ribosome/translation
YDR092W	UBC13	DNA replication/repair/HR/cohesion
YDR093W	DNF2	lipid/sterol/fatty acid biosynth
YDR094W	YDR094W	unknown
YDR095C	YDR095C	unknown
YDR096W	GIS1	chromatin/transcription
YDR097C	MSH6	DNA replication/repair/HR/cohesion
YDR098C	GRX3	metabolism/mitochondria
YDR099W	BMH2	cell polarity/morphogenesis;Golgi/endosome/vacuole/sorting;signaling/stress response
YDR100W	TVP15	Golgi/endosome/vacuole/sorting
YDR101C	ARX1	nuclear-cytoplasic transport
YDR102C	YDR102C	unknown
YDR104C	SPO71	G1/S and G2/M cell cycle progression/meiosis
YDR105C	TMS1	unknown
YDR107C	TMN2	unknown
YDR108W	GSG1	ER<->Golgi traffic
YDR109C	YDR109C	unknown
YDR110W	FOB1	DNA replication/repair/HR/cohesion;chromosome segregation/kinetochore/spindle/microtubule
YDR111C	ALT2	metabolism/mitochondria
YDR112W	IRC2	unknown
YDR113C_tsq862	pds1-128	chromosome segregation/kinetochore/spindle/microtubule
YDR116C	MRPL1	metabolism/mitochondria;ribosome/translation
YDR117C	TMA64	unknown
YDR119W	VBA4	unknown
YDR120C	TRM1	ribosome/translation
YDR121W	DPB4	DNA replication/repair/HR/cohesion
YDR122W	KIN1	cell polarity/morphogenesis
YDR123C	INO2	lipid/sterol/fatty acid biosynth
YDR124W	YDR124W	unknown
YDR125C	ECM18	unknown
YDR126W	SWF1	Golgi/endosome/vacuole/sorting
YDR127W	ARO1	amino acid biosynth&transport/nitrogen utilization
YDR128W	MTC5	amino acid biosynth&transport/nitrogen utilization
YDR130C	FIN1	chromosome segregation/kinetochore/spindle/microtubule
YDR131C	YDR131C	protein degradation/proteosome
YDR132C	YDR132C	unknown
YDR133C	YDR133C	unknown
YDR134C	YDR134C	unknown
YDR135C	YCF1	drug/ion transport;metabolism/mitochondria
YDR137W	RGP1	Golgi/endosome/vacuole/sorting
YDR139C	RUB1	protein degradation/proteosome
YDR143C	SAN1	protein degradation/proteosome
YDR144C	MKC7	unknown
YDR145W_tsq515	taf12-W486stop	chromatin/transcription
YDR146C	SWI5	G1/S and G2/M cell cycle progression/meiosis;chromatin/transcription;chromosome segregation/kinetochore/spindle/microtubule
YDR147W	EKI1	lipid/sterol/fatty acid biosynth
YDR148C	KGD2	metabolism/mitochondria
YDR149C	YDR149C	chromosome segregation/kinetochore/spindle/microtubule
YDR150W	NUM1	chromosome segregation/kinetochore/spindle/microtubule
YDR151C	CTH1	chromatin/transcription
YDR152W	GIR2	ribosome/translation;RNA processing
YDR153C	ENT5	Golgi/endosome/vacuole/sorting
YDR154C	YDR154C	unknown
YDR155C	CPR1	chromatin/transcription
YDR156W	RPA14	chromatin/transcription
YDR157W	YDR157W	unknown
YDR158W	HOM2	amino acid biosynth&transport/nitrogen utilization
YDR159W	SAC3	RNA processing
YDR160W_damp	SSY1_damp	amino acid biosynth&transport/nitrogen utilization
YDR162C	NBP2	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis;metabolism/mitochondria;signaling/stress response
YDR163W	CWC15	RNA processing
YDR165W	TRM82	ribosome/translation
YDR168W_tsq315	cdc37-ts	protein degradation/proteosome
YDR168W_tsq317	cdc37-1	unknown
YDR169C	STB3	ribosome/translation
YDR171W	HSP42	unknown
YDR174W	HMO1	ribosome/translation;signaling/stress response;chromatin/transcription;DNA replication/repair/HR/cohesion;chromosome segregation/kinetochore/spindle/microtubule
YDR178W	SDH4	metabolism/mitochondria
YDR179C	CSN9	protein degradation/proteosome
YDR179W-A	YDR179W-A	unknown
YDR180W_tsq69	scc2-4	DNA replication/repair/HR/cohesion
YDR181C	SAS4	chromatin/transcription
YDR182W_tsq413	cdc1-2	unknown
YDR183W	PLP1	cell polarity/morphogenesis
YDR184C	ATC1	unknown
YDR185C	UPS3	metabolism/mitochondria
YDR186C	YDR186C	unknown
YDR189W_tsq251	sly1-ts	ER<->Golgi traffic
YDR190C_damp	RVB1_damp	ribosome/translation;RNA processing
YDR191W	HST4	DNA replication/repair/HR/cohesion
YDR192C	NUP42	nuclear-cytoplasic transport
YDR193W	YDR193W	nuclear-cytoplasic transport
YDR197W	CBS2	metabolism/mitochondria;ribosome/translation
YDR198C	RKM2	ribosome/translation
YDR199W	YDR199W	unknown
YDR200C	VPS64	unknown
YDR202C	RAV2	Golgi/endosome/vacuole/sorting
YDR203W	YDR203W	Golgi/endosome/vacuole/sorting
YDR205W	MSC2	G1/S and G2/M cell cycle progression/meiosis
YDR206W	EBS1	ribosome/translation;RNA processing
YDR207C	UME6	chromatin/transcription
YDR209C	YDR209C	unknown
YDR210W	YDR210W	unknown
YDR212W_tsq448	tcp1-2	unknown
YDR213W	UPC2	lipid/sterol/fatty acid biosynth
YDR214W	AHA1	unknown
YDR215C	YDR215C	unknown
YDR216W	ADR1	metabolism/mitochondria;chromatin/transcription
YDR217C	RAD9	DNA replication/repair/HR/cohesion
YDR218C	SPR28	cell polarity/morphogenesis;G1/S and G2/M cell cycle progression/meiosis
YDR219C	MFB1	metabolism/mitochondria
YDR220C	YDR220C	unknown
YDR221W	GTB1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YDR222W	YDR222W	unknown
YDR223W	CRF1	ribosome/translation;signaling/stress response;chromatin/transcription
YDR225W	HTA1	chromatin/transcription
YDR228C_tsq685	pcf11-2	chromatin/transcription;RNA processing
YDR228C_tsq686	pcf11-ts2	chromatin/transcription;RNA processing
YDR229W	IVY1	Golgi/endosome/vacuole/sorting
YDR233C	RTN1	unknown
YDR239C	YDR239C	unknown
YDR242W	AMD2	unknown
YDR243C_tsq574	prp28-101	RNA processing
YDR245W	MNN10	protein folding/protein glycosylation/cell wall biogenesis&integrity
YDR247W	VHS1	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YDR248C	YDR248C	unknown
YDR249C	YDR249C	unknown
YDR250C	YDR250C	unknown
YDR251W	PAM1	unknown
YDR252W	BTT1	chromatin/transcription;RNA processing
YDR253C	MET32	metabolism/mitochondria;chromatin/transcription
YDR254W	CHL4	chromosome segregation/kinetochore/spindle/microtubule
YDR255C	RMD5	metabolism/mitochondria
YDR256C	CTA1	metabolism/mitochondria
YDR257C	RKM4	chromatin/transcription
YDR258C	HSP78	unknown
YDR259C	YAP6	signaling/stress response;chromatin/transcription
YDR260C	SWM1	chromosome segregation/kinetochore/spindle/microtubule
YDR261C	EXG2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YDR262W	YDR262W	unknown
YDR263C	DIN7	G1/S and G2/M cell cycle progression/meiosis;DNA replication/repair/HR/cohesion
YDR264C	AKR1	cell polarity/morphogenesis;signaling/stress response
YDR266C	YDR266C	unknown
YDR269C	YDR269C	unknown
YDR270W	CCC2	drug/ion transport
YDR271C	YDR271C	unknown
YDR272W	GLO2	metabolism/mitochondria
YDR273W	DON1	G1/S and G2/M cell cycle progression/meiosis;chromosome segregation/kinetochore/spindle/microtubule
YDR274C	YDR274C	unknown
YDR275W	BSC2	unknown
YDR276C	PMP3	drug/ion transport
YDR277C	MTH1	drug/ion transport;metabolism/mitochondria
YDR278C	YDR278C	unknown
YDR279W	RNH202	DNA replication/repair/HR/cohesion
YDR281C	PHM6	unknown
YDR282C	YDR282C	unknown
YDR283C	GCN2	metabolism/mitochondria
YDR284C	DPP1	lipid/sterol/fatty acid biosynth;signaling/stress response
YDR285W	ZIP1	G1/S and G2/M cell cycle progression/meiosis;chromosome segregation/kinetochore/spindle/microtubule
YDR286C	YDR286C	unknown
YDR287W	INM2	metabolism/mitochondria
YDR289C	RTT103	chromatin/transcription
YDR290W	YDR290W	unknown
YDR291W	HRQ1	G1/S and G2/M cell cycle progression/meiosis
YDR292C_damp	SRP101_damp	ER<->Golgi traffic
YDR293C	SSD1	unknown
YDR294C	DPL1	lipid/sterol/fatty acid biosynth;signaling/stress response
YDR297W	SUR2	lipid/sterol/fatty acid biosynth
YDR298C	ATP5	metabolism/mitochondria
YDR304C	CPR5	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YDR305C	HNT2	unknown
YDR306C	YDR306C	unknown
YDR307W	YDR307W	unknown
YDR309C	GIC2	cell polarity/morphogenesis
YDR310C	SUM1	G1/S and G2/M cell cycle progression/meiosis;chromatin/transcription
YDR312W	SSF2	ribosome/translation
YDR313C	PIB1	Golgi/endosome/vacuole/sorting;signaling/stress response
YDR314C	RAD34	DNA replication/repair/HR/cohesion
YDR315C	IPK1	lipid/sterol/fatty acid biosynth;signaling/stress response
YDR316W	OMS1	unknown
YDR317W	HIM1	unknown
YDR318W	MCM21	chromosome segregation/kinetochore/spindle/microtubule
YDR319C	YFT2	unknown
YDR321W	ASP1	metabolism/mitochondria
YDR322C-A	TIM11	metabolism/mitochondria
YDR326C	YSP2	unknown
YDR330W	UBX5	unknown
YDR331W_tsq371	gpi8-ts	protein folding/protein glycosylation/cell wall biogenesis&integrity
YDR332W	IRC3	unknown
YDR333C	YDR333C	unknown
YDR334W	SWR1	chromatin/transcription
YDR335W	MSN5	G1/S and G2/M cell cycle progression/meiosis;nuclear-cytoplasic transport
YDR336W	YDR336W	unknown
YDR338C	YDR338C	unknown
YDR340W	YDR340W	unknown
YDR344C	YDR344C	unknown
YDR345C	HXT3	metabolism/mitochondria
YDR346C	SVF1	signaling/stress response
YDR348C	YDR348C	unknown
YDR349C	YPS7	unknown
YDR351W	SBE2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YDR352W	YDR352W	unknown
YDR354W	TRP4	amino acid biosynth&transport/nitrogen utilization
YDR357C	YDR357C	unknown
YDR358W	GGA1	Golgi/endosome/vacuole/sorting
YDR359C	EAF1	chromatin/transcription
YDR360W	OPI7	chromatin/transcription
YDR363W	ESC2	DNA replication/repair/HR/cohesion
YDR363W-A	SEM1	protein degradation/proteosome
YDR368W	YPR1	metabolism/mitochondria
YDR369C	XRS2	DNA replication/repair/HR/cohesion
YDR370C	YDR370C	unknown
YDR371W	CTS2	unknown
YDR372C	VPS74	protein folding/protein glycosylation/cell wall biogenesis&integrity
YDR374C	YDR374C	unknown
YDR375C	BCS1	metabolism/mitochondria
YDR378C	LSM6	RNA processing
YDR379W	RGA2	cell polarity/morphogenesis
YDR380W	ARO10	amino acid biosynth&transport/nitrogen utilization
YDR382W	RPP2B	ribosome/translation
YDR383C	NKP1	chromosome segregation/kinetochore/spindle/microtubule
YDR384C	ATO3	drug/ion transport
YDR385W	EFT2	ribosome/translation
YDR386W	MUS81	DNA replication/repair/HR/cohesion
YDR387C	YDR387C	unknown
YDR388W	RVS167	cell polarity/morphogenesis
YDR388W_damp	RVS167_damp	cell polarity/morphogenesis
YDR389W	SAC7	cell polarity/morphogenesis
YDR391C	YDR391C	unknown
YDR392W	SPT3	chromatin/transcription
YDR393W	SHE9	metabolism/mitochondria
YDR394W_tsq785	rpt3-1	protein degradation/proteosome
YDR395W	SXM1	nuclear-cytoplasic transport
YDR399W	HPT1	metabolism/mitochondria
YDR400W	URH1	metabolism/mitochondria;protein degradation/proteosome
YDR401W	YDR401W	unknown
YDR402C	DIT2	protein folding/protein glycosylation/cell wall biogenesis&integrity;G1/S and G2/M cell cycle progression/meiosis
YDR403W	DIT1	protein folding/protein glycosylation/cell wall biogenesis&integrity;G1/S and G2/M cell cycle progression/meiosis
YDR406W	PDR15	drug/ion transport
YDR408C	ADE8	metabolism/mitochondria
YDR409W	SIZ1	unknown
YDR411C	DFM1	ER<->Golgi traffic;protein degradation/proteosome
YDR414C	ERD1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YDR415C	YDR415C	unknown
YDR419W	RAD30	DNA replication/repair/HR/cohesion
YDR420W	HKR1	protein folding/protein glycosylation/cell wall biogenesis&integrity;signaling/stress response
YDR421W	ARO80	amino acid biosynth&transport/nitrogen utilization
YDR422C	SIP1	metabolism/mitochondria;signaling/stress response
YDR423C	CAD1	signaling/stress response;chromatin/transcription
YDR424C	DYN2	chromosome segregation/kinetochore/spindle/microtubule
YDR425W	SNX41	Golgi/endosome/vacuole/sorting
YDR426C	YDR426C	unknown
YDR428C	BNA7	metabolism/mitochondria
YDR430C	CYM1	metabolism/mitochondria
YDR431W	YDR431W	unknown
YDR435C	PPM1	signaling/stress response
YDR436W	PPZ2	signaling/stress response
YDR438W	THI74	drug/ion transport
YDR439W	LRS4	chromosome segregation/kinetochore/spindle/microtubule
YDR440W	DOT1	chromatin/transcription
YDR441C	APT2	metabolism/mitochondria
YDR444W	YDR444W	unknown
YDR445C	YDR445C	unknown
YDR446W	ECM11	G1/S and G2/M cell cycle progression/meiosis
YDR447C	RPS17B	ribosome/translation
YDR448W	ADA2	chromatin/transcription
YDR451C	YHP1	chromatin/transcription
YDR452W	PPN1	metabolism/mitochondria
YDR453C	TSA2	metabolism/mitochondria
YDR455C	YDR455C	drug/ion transport
YDR457W	TOM1	nuclear-cytoplasic transport;chromatin/transcription
YDR458C	HEH2	unknown
YDR459C	PFA5	signaling/stress response
YDR463W	STP1	ribosome/translation
YDR465C	RMT2	ribosome/translation
YDR466W	PKH3	protein folding/protein glycosylation/cell wall biogenesis&integrity;signaling/stress response
YDR467C	YDR467C	unknown
YDR469W	SDC1	chromatin/transcription
YDR471W	RPL27B	ribosome/translation
YDR472W_damp	TRS31_damp	Golgi/endosome/vacuole/sorting
YDR474C	YDR474C	unknown
YDR475C	JIP4	unknown
YDR476C	YDR476C	unknown
YDR477W	SNF1	metabolism/mitochondria;signaling/stress response
YDR480W	DIG2	cell polarity/morphogenesis;signaling/stress response
YDR481C	PHO8	unknown
YDR482C	CWC21	RNA processing
YDR485C	VPS72	chromatin/transcription
YDR486C	VPS60	Golgi/endosome/vacuole/sorting
YDR488C	PAC11	chromosome segregation/kinetochore/spindle/microtubule
YDR490C	PKH1	protein folding/protein glycosylation/cell wall biogenesis&integrity
